Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1196.9392	218.46472	-840.6791	-1749.2366	-1210.7659	225.76973	-791.8252	-1477.487	200.0	200.0	3999	-1105.7466	15559.49	0.23239133	-14.540313	-1106.5604	15570.941	0.022509545	-14.558314	-135.53766	1907.2091	0.44739318	-3.0184608	4.9844995	25.28961	25.037967443466187
2	-1184.5242	262.58557	-863.0343	-1703.6445	-1495.8738	228.9158	-1141.4939	-1762.7185	200.0	200.0	7999	-1555.8425	21893.014	0.11184031	-20.014776	-1560.6233	21960.283	0.05324139	-20.203224	-136.08241	1914.8745	-0.043647647	-3.4688764	7.137091	2.7903137	54.97038912773132
3	-1283.463	252.22421	-881.67535	-1726.9437	-1346.382	342.25797	-630.70197	-1858.1783	200.0	200.0	11999	-2014.4373	28346.096	-0.17506483	-24.571592	-2012.5844	28320.023	-0.09482141	-24.44378	-135.44968	1905.9711	-0.16211009	-5.355822	9.410486	0.81405336	94.65306997299194
4	-1255.2191	236.94234	-757.4741	-1533.1415	-1264.313	152.01224	-1010.1662	-1504.719	200.0	200.0	15999	-2368.1328	33323.133	-0.38840654	-29.62124	-2370.2446	33352.848	-0.3666145	-29.080791	-135.51833	1906.9371	-0.13690233	-3.123869	11.258713	0.5870896	129.50214266777039
5	-1382.743	310.13864	-870.7846	-1845.0615	-1644.1309	210.74506	-1160.3949	-1922.4264	200.0	200.0	19999	-2873.6357	40436.273	-0.31842187	-33.921284	-2873.3672	40432.496	-0.30846033	-33.80455	-134.46793	1892.1569	-0.03097415	-3.5782743	13.845266	0.51268363	163.32334399223328
6	-1469.053	241.87608	-1085.3748	-1868.9974	-1489.8767	169.88928	-1204.5892	-1749.6971	200.0	200.0	23999	-3286.2722	46242.684	-0.28227317	-38.24784	-3287.5938	46261.28	-0.34705067	-38.20553	-133.23923	1874.8682	0.2581886	-4.3729987	16.002483	0.84781325	192.41148447990417
7	-1460.0388	269.62772	-966.52155	-1839.854	-1689.5779	152.28233	-1432.9935	-1949.3535	200.0	200.0	27999	-3770.2656	53053.168	-0.24934392	-43.150234	-3769.8423	53047.21	-0.26528233	-43.181175	-132.09515	1858.7703	0.26068568	-3.5965438	18.41691	0.6528082	221.9585154056549
8	-1456.3973	229.24147	-969.8159	-1786.4601	-1763.0193	184.60014	-1425.8779	-1950.8884	200.0	200.0	31999	-4435.219	62409.977	-0.40628722	-45.480965	-4438.271	62452.92	-0.37899217	-46.016846	-130.18375	1831.8751	0.34379184	-3.8892517	21.86971	1.8116814	252.4071283340454
9	-1511.3765	182.81433	-1211.0054	-1839.1445	-1581.2163	78.45393	-1464.9528	-1700.829	200.0	200.0	35999	-4852.069	68275.69	-0.4068972	-51.23851	-4852.616	68283.39	-0.38900188	-51.215694	-127.74397	1797.5446	0.32772744	-3.4793644	23.86555	0.57885945	281.53172516822815
10	-1570.1487	198.71764	-1181.3114	-1820.0444	-1745.991	169.74759	-1504.4451	-1941.9722	200.0	200.0	39999	-5391.8384	75871.01	-0.43331838	-56.002815	-5390.053	75845.89	-0.31726244	-55.327507	-125.171005	1761.3408	0.8517196	-4.4878874	26.538061	0.48971176	310.11253476142883
11	-1449.3188	177.58397	-1142.9166	-1804.6555	-1689.7712	103.979385	-1556.5107	-1857.8171	200.0	200.0	43999	-6076.7993	85509.37	-0.4163501	-59.97479	-6075.154	85486.22	-0.2917967	-60.978016	-125.42607	1764.9296	0.597255	-3.463119	30.0505	0.7142846	339.78004360198975
12	-1577.2501	185.09766	-1240.3217	-1829.0607	-1727.5125	119.88287	-1547.722	-1925.1394	200.0	200.0	47999	-6453.7144	90813.13	-0.3886528	-64.18141	-6451.932	90788.06	-0.19085965	-64.025185	-121.38334	1708.0458	0.84942746	-4.614987	32.008045	1.9576843	368.9453134536743
13	-1499.4125	233.15092	-1085.3134	-1807.8574	-1598.4525	156.04086	-1321.1016	-1877.5377	200.0	200.0	51999	-7086.741	99720.7	0.18141109	-66.6582	-7089.3467	99757.37	-0.12918952	-66.48628	-118.20117	1663.269	0.81241536	-4.010123	35.173126	0.9959251	397.4756178855896
14	-1494.8647	246.50847	-1078.5961	-1858.1411	-1636.2776	230.7879	-1141.776	-1919.7324	200.0	200.0	55999	-7747.1353	109013.375	-0.5252735	-70.421	-7748.526	109032.945	-0.40467662	-71.15319	-117.887474	1658.856	0.8400692	-3.9746737	38.401295	0.54473674	427.44869112968445
