Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1231.2389	283.61526	-848.24524	-1831.3956	-265.57672	157.63835	-3.5650725	-513.0845	200.0	200.0	3999	-41.522926	28.588108	0.58190084	-114.5261	-41.522568	28.580866	0.53552264	-113.628815	0.40065554	1.2723899	7.3681545	-8.320713	40.819515	20.552547	32.81558418273926
2	-1262.5573	312.8427	-852.3096	-1763.3613	-180.453	130.23671	-1.1662894	-363.10815	200.0	200.0	7999	-97.72651	39.99116	6.2969527	-211.56233	-97.72669	39.973644	7.3238516	-210.83801	1.2922212	1.5632727	6.9860435	-10.659558	95.26697	95.967735	78.94518208503723
3	-762.9278	660.7601	-1.686368	-1653.013	-140.50034	81.76816	-2.9047	-336.83353	200.0	200.0	11999	-122.73314	63.98875	29.568708	-262.52386	-122.73397	63.97693	29.350336	-262.63126	1.6043278	1.7204382	8.060442	-10.261476	118.91563	176.71617	125.2826988697052
4	-168.74785	94.76776	-0.87970203	-361.3809	-108.17533	62.490612	-0.34597766	-228.36128	200.0	200.0	15999	-90.66735	87.68864	33.242306	-275.85135	-90.66796	87.68595	33.97554	-275.79846	1.309747	1.8007936	8.181773	-9.766187	87.355125	153.24138	169.07587933540344
5	-152.80682	119.49795	-0.78186893	-359.8033	-131.50615	31.083109	-114.02807	-223.8993	200.0	200.0	19999	-68.18617	85.58606	33.01951	-276.20758	-68.18573	85.58658	31.536076	-275.69934	0.95065135	1.7743174	8.540062	-9.272424	65.6483	112.966606	213.35743880271912
6	-170.95142	71.70065	-118.0082	-349.80176	-203.54868	74.52166	-115.00251	-320.16696	200.0	200.0	23999	-57.661667	81.62385	21.806757	-269.95953	-57.66141	81.62491	21.491888	-269.38342	0.724667	1.7017684	9.15387	-9.407174	55.726658	85.65542	252.40251302719116
7	-143.82957	87.400024	-0.9081142	-348.9942	-177.21468	72.86733	-117.31906	-332.30252	200.0	200.0	27999	-51.60706	79.31901	18.306444	-272.09836	-51.60612	79.31901	16.86271	-271.52634	0.5536778	1.6166415	9.592558	-9.655472	50.006187	75.27921	290.7942531108856
8	-119.18463	78.52016	-0.7859501	-319.99664	-141.72177	86.41637	-0.49352914	-350.89865	200.0	200.0	31999	-46.89536	76.84559	14.346155	-273.76166	-46.89523	76.84479	14.701718	-273.24753	0.42945978	1.5417017	9.002355	-8.625385	45.550858	73.38346	344.34071111679077
9	-143.31313	77.51372	-1.4477404	-338.5467	-141.02048	86.57884	-0.80117744	-234.64911	200.0	200.0	35999	-43.48186	74.86104	11.221066	-275.63602	-43.48171	74.860115	12.9243555	-275.9662	0.37694708	1.5203096	9.919462	-10.3039875	42.27982	60.669502	387.68069648742676
10	-183.56584	86.60832	-0.8010635	-368.8588	-120.04195	54.544422	-1.4064455	-244.61917	200.0	200.0	39999	-40.60564	73.109795	10.044599	-281.56406	-40.606194	73.108055	10.341793	-280.61508	0.31516397	1.4681515	8.738573	-10.073108	39.559097	58.19419	438.3421940803528
11	-122.43661	92.404106	-0.77047485	-357.38733	-141.33226	67.98364	-3.554447	-243.95102	200.0	200.0	43999	-38.49204	71.36214	9.4932995	-287.0143	-38.49309	71.35919	10.524812	-286.8065	0.26302704	1.4373308	9.497273	-8.3723955	37.555485	52.581524	485.442884683609
12	-143.4696	86.22605	-1.6242191	-356.73508	-166.72466	53.49884	-119.40225	-238.69633	200.0	200.0	47999	-36.186832	69.80826	8.446498	-284.22073	-36.187862	69.80542	9.958336	-285.69672	0.2068548	1.3880268	10.38288	-11.346212	35.33549	49.07633	533.8726017475128
13	-130.3765	104.97023	-0.81963634	-336.08978	-155.96124	53.000923	-115.80802	-237.34972	200.0	200.0	51999	-34.58814	68.60627	7.4769416	-285.8158	-34.589	68.60396	8.26272	-285.27997	0.18202463	1.3845041	10.06271	-8.700091	33.81117	47.55164	587.3672771453857
14	-131.17142	70.98748	-1.0825554	-237.14839	-163.66881	53.40616	-114.564224	-238.56775	200.0	200.0	55999	-32.78942	67.14778	7.5720134	-287.62344	-32.790134	67.14633	9.522664	-287.65915	0.11992002	1.364285	9.326628	-9.613427	32.03929	36.9675	632.5768234729767
15	-121.73558	73.44089	-0.8601454	-351.9465	-169.17342	79.02195	-0.817433	-253.06161	200.0	200.0	59999	-30.877335	65.48729	6.1902084	-289.0752	-30.878038	65.486755	6.892113	-290.19284	0.0734782	1.3125079	12.484652	-9.122456	30.206602	35.746082	700.7699384689331
16	-149.43494	71.90245	-1.1768851	-248.61383	-108.71975	80.99535	-0.853963	-232.01324	200.0	200.0	63999	-29.435286	64.160545	6.629311	-289.42114	-29.43552	64.16056	9.339991	-290.10272	0.036637913	1.2913425	9.240894	-9.162365	28.810537	42.449635	760.884218454361
17	-179.35796	70.93534	-121.8429	-351.25345	-107.98299	36.04016	-0.2838479	-124.465195	200.0	200.0	67999	-28.13632	62.9597	5.713292	-288.26334	-28.136795	62.96003	6.864902	-289.21686	0.029241748	1.2860653	10.155912	-9.771694	27.569273	34.7596	818.5171377658844
18	-113.59874	89.8523	-0.99083257	-313.61743	-175.67198	90.51621	-0.5251173	-329.15976	200.0	200.0	71999	-27.295507	62.63282	5.5761213	-291.5157	-27.295908	62.63375	6.702389	-292.7321	0.0030820447	1.2785653	10.827514	-9.768654	26.75495	30.818085	866.7514524459839
19	-158.00027	53.59745	-117.82536	-247.92484	-145.26067	89.963776	-0.28992912	-256.59296	200.0	200.0	75999	-26.11899	61.60628	5.0997787	-290.75323	-26.119177	61.606697	5.0636754	-291.07727	-0.008820491	1.2601798	10.455825	-9.375166	25.592306	27.791594	918.1178023815155
20	-161.7796	99.070984	-0.8934989	-345.10284	-134.21474	85.12991	-0.89871716	-253.73627	200.0	200.0	79999	-24.966333	60.446392	5.289896	-292.59668	-24.966282	60.446297	6.5088086	-293.4806	-0.030170172	1.2273548	11.313244	-8.337019	24.475391	29.644745	972.4620923995972
21	-126.949	88.285736	-0.8948644	-249.64447	-147.01183	48.5461	-118.718636	-249.92355	200.0	200.0	83999	-24.01898	59.70308	6.6684036	-290.2387	-24.018892	59.70326	6.1747813	-292.19708	-0.050889675	1.2094926	16.737513	-8.776537	23.559542	28.022038	1024.4526054859161
22	-176.70158	81.88484	-1.1053655	-335.86145	-177.6868	56.35361	-119.27299	-238.67224	200.0	200.0	87999	-23.25278	59.023956	8.341695	-291.5609	-23.253057	59.02357	7.7387896	-291.9157	-0.040467218	1.2271878	12.045558	-11.133675	22.821262	28.046965	1079.6413142681122
23	-147.82248	86.574356	-0.9802095	-327.01965	-142.39348	69.75036	-0.2661694	-246.00635	200.0	200.0	91999	-22.608282	58.281578	5.3579507	-289.9213	-22.608532	58.281788	6.3383923	-290.99155	-0.051755685	1.2041671	13.660202	-12.1221895	22.210583	29.360573	1135.9904072284698
24	-149.39612	71.19365	-2.672601	-239.29361	-95.92203	87.904144	-0.49041325	-240.08656	200.0	200.0	95999	-22.099188	57.95098	8.083222	-290.84656	-22.099287	57.950737	6.4487667	-292.09995	-0.055330727	1.195241	10.686696	-8.732802	21.702257	23.248941	1198.4429440498352
25	-143.15874	85.824234	-1.2312222	-356.56647	-109.98936	66.19901	-1.4547806	-249.0204	200.0	200.0	99999	-21.530432	57.259094	5.216397	-293.45074	-21.530966	57.25891	6.3850737	-293.895	-0.059887536	1.1930189	11.503844	-8.790236	21.172632	24.72659	1256.6599750518799
26	-173.79115	79.33897	-1.0045663	-368.58472	-133.29118	99.12567	-0.26075906	-361.09167	200.0	200.0	103999	-20.89417	56.423096	7.9721093	-293.64267	-20.894548	56.423927	4.9170675	-295.31525	-0.06781802	1.1706129	10.852101	-9.809973	20.544765	26.98222	1321.0370037555695
27	-148.71957	86.98845	-1.0661794	-325.07547	-185.89442	84.81764	-0.49906987	-285.89255	200.0	200.0	107999	-20.539944	56.119545	4.8162456	-293.44824	-20.539873	56.12	6.721114	-295.43652	-0.07837851	1.1688846	15.950599	-9.683098	20.196707	22.181934	1378.3235807418823
28	-124.72583	80.421265	-1.0675768	-265.95145	-149.50528	95.473404	-0.37196505	-287.52438	200.0	200.0	111999	-19.85541	55.507137	6.59001	-294.22867	-19.855637	55.506664	5.787441	-296.52713	-0.09876846	1.1587737	11.424097	-8.690427	19.546133	24.402773	1450.3397421836853
29	-141.87918	69.90036	-1.0263457	-286.30136	-118.419044	72.843	-0.5704033	-234.63513	200.0	200.0	115999	-19.41562	54.934326	4.854075	-295.3423	-19.416048	54.934746	5.037175	-294.99243	-0.09974294	1.144458	10.216754	-8.28294	19.118853	22.451859	1504.024364233017
30	-158.3989	101.045494	-0.9356987	-318.79083	-143.33409	44.362007	-114.530304	-241.02058	200.0	200.0	119999	-19.102371	54.552944	6.281044	-294.1364	-19.102379	54.55361	8.453783	-295.53433	-0.11143948	1.1324666	13.242674	-8.499764	18.813446	22.351748	1556.3818299770355
31	-133.99014	49.85733	-1.1790384	-240.34697	-153.96382	51.890457	-116.094955	-239.95174	200.0	200.0	123999	-18.673378	53.933918	4.8601613	-289.73648	-18.673876	53.9341	5.074574	-291.33453	-0.124239795	1.1398033	14.79244	-8.647446	18.394058	22.331026	1607.3350577354431
32	-180.57979	94.38796	-1.3071706	-363.65573	-136.68835	90.25204	-0.11712687	-290.58014	200.0	200.0	127999	-18.40459	53.675453	7.535059	-293.25098	-18.404606	53.674294	5.0856743	-294.22278	-0.1438779	1.1074616	8.9768715	-9.69047	18.116085	18.475542	1650.6742799282074
33	-96.705475	94.693924	-1.1004181	-347.3798	-96.92885	47.796143	-1.1298025	-124.67078	200.0	200.0	131999	-18.039265	53.265884	5.560837	-296.6545	-18.040155	53.267803	5.670103	-298.369	-0.1528467	1.1203903	10.036821	-9.34986	17.765766	19.373453	1693.6343653202057
34	-145.00433	68.82735	-1.5065888	-334.3644	-84.32412	74.78392	-0.4736321	-231.01486	200.0	200.0	135999	-17.45035	52.593	5.2466125	-294.26205	-17.450258	52.59324	5.0128374	-295.33652	-0.1838931	1.0891685	10.948692	-7.9842787	17.200087	20.14386	1736.3580055236816
35	-150.12056	64.54609	-1.0627022	-273.92398	-162.33487	90.96143	-0.057946246	-354.3845	200.0	200.0	139999	-17.135197	52.362255	4.726443	-291.21008	-17.135456	52.363953	5.0142913	-292.48935	-0.18547145	1.0863595	12.207883	-8.816525	16.902128	21.72775	1779.130096912384
36	-103.13991	76.58967	-1.0471573	-240.11418	-111.1089	85.30104	-0.17162779	-246.28336	200.0	200.0	143999	-16.740858	52.052273	6.1977835	-293.69287	-16.741405	52.053032	5.743037	-294.46567	-0.17961484	1.0839089	10.158823	-9.384373	16.49763	17.312078	1822.130957365036
37	-124.608765	80.08178	-1.2926924	-291.36273	-134.31117	85.85106	-0.0470244	-256.84247	200.0	200.0	147999	-16.32335	51.468246	6.2425756	-292.0509	-16.324028	51.468853	5.2962384	-292.999	-0.19834146	1.0798231	10.563446	-7.848105	16.087782	18.078644	1865.031566619873
38	-123.8218	79.674934	-1.2293881	-297.54913	-118.49713	89.63882	-0.23582771	-240.34108	200.0	200.0	151999	-16.022905	51.276688	5.177644	-293.10605	-16.023008	51.276283	4.852081	-294.66403	-0.19245937	1.0783046	17.090094	-7.6832337	15.798619	16.004143	1908.8988018035889
39	-121.24858	73.65243	-0.97184527	-242.93253	-147.0761	89.0677	-0.6450255	-323.51013	200.0	200.0	155999	-15.631981	50.75181	6.548178	-292.25287	-15.632647	50.753204	5.5894938	-294.60522	-0.21077093	1.0747075	14.465142	-9.083012	15.411679	16.01914	1952.703557252884
40	-154.3726	90.08788	-1.3457252	-347.59875	-108.687515	80.6205	-0.15528567	-235.57634	200.0	200.0	159999	-15.284886	50.1934	5.046813	-291.62888	-15.285217	50.193645	6.1038804	-293.17853	-0.20711783	1.0710087	11.311449	-9.561848	15.056451	13.237478	1996.1295773983002
41	-156.10745	98.66995	-1.1269048	-340.0074	-133.59348	83.75347	-1.2594419	-247.60693	200.0	200.0	163999	-15.109109	49.853355	5.501194	-292.8834	-15.109335	49.85287	5.9419665	-292.72614	-0.21933873	1.056818	10.117678	-7.945628	14.894632	18.403614	2039.416006565094
42	-182.9514	72.34137	-2.4774675	-271.4127	-183.39188	68.42553	-117.18057	-318.9699	200.0	200.0	167999	-14.966587	49.77727	5.2580547	-292.11194	-14.96688	49.77782	5.0194416	-293.20206	-0.23428729	1.0586469	8.737684	-8.976521	14.756454	15.001441	2082.8253257274628
43	-164.44987	79.33421	-3.1858895	-333.89676	-154.13513	72.62919	-5.046838	-243.18356	200.0	200.0	171999	-14.950525	49.84372	4.903435	-289.98367	-14.950586	49.843403	5.089993	-293.2137	-0.2257915	1.0622094	10.433315	-9.437731	14.751299	13.411813	2126.39560174942
44	-148.81262	70.65101	-1.3603929	-241.06612	-131.86899	62.239937	-1.0617483	-240.08992	200.0	200.0	175999	-14.610477	49.325665	5.9849916	-292.54218	-14.610989	49.327354	5.1148405	-295.10373	-0.23024377	1.0444937	10.249451	-9.658304	14.418797	17.457788	2170.327754497528
