Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1344.2585	270.38257	-864.4143	-1761.5652	-1700.9427	73.448944	-1578.805	-1782.9583	200.0	200.0	3999	-1642.6215	23114.078	0.24329521	-28.012243	-1649.5946	23212.197	0.15083872	-25.315825	1323.7657	18627.512	32.78395	-8.866992	8.407152	11.896452	13.142594575881958
2	-1252.876	292.75912	-909.1214	-1752.6163	-1784.9602	60.928097	-1672.0166	-1851.1631	200.0	200.0	7999	-2121.677	29855.096	-0.053407334	-24.859507	-2125.1252	29903.617	-0.0136466995	-24.983187	2891.253	40684.43	32.896572	-4.7466807	10.590527	0.5703489	29.75966453552246
3	-1434.4576	391.30954	-774.5785	-1932.3892	-1837.9156	72.115974	-1658.676	-1915.8977	200.0	200.0	11999	-2600.8662	36597.99	-0.29988283	-30.220522	-2600.878	36598.156	-0.34492868	-30.360516	3520.547	49539.47	32.896572	-7.795466	12.926285	0.15861025	48.06653332710266
4	-1695.1797	173.13573	-1110.8695	-1875.4948	-1779.357	137.62483	-1442.8158	-1908.3594	200.0	200.0	15999	-3163.1113	44509.59	-0.2646421	-34.750465	-3162.9297	44507.035	-0.28893003	-35.434124	3406.4612	47934.156	32.896572	-7.213574	15.762655	0.08745893	68.62552428245544
5	-1425.1854	111.192444	-1156.8684	-1536.5339	-1469.0505	28.111624	-1419.4592	-1503.141	200.0	200.0	19999	-3724.8135	52413.535	-0.23429874	-40.01772	-3725.8782	52428.52	-0.25647867	-40.294563	4278.716	60207.895	32.896572	-6.1157603	18.69602	0.3259611	89.40724563598633
6	-1394.3547	217.18283	-522.93146	-1514.2212	-1421.449	97.96274	-1160.5128	-1513.7385	200.0	200.0	23999	-4226.1655	59468.285	-0.24947004	-45.945496	-4219.282	59371.426	-0.19110379	-47.205433	5406.32	76074.74	32.896572	-5.452795	21.359371	1.3863574	109.79636096954346
7	-1461.7277	67.78652	-1236.2352	-1521.6648	-1394.0421	72.845924	-1311.84	-1498.5889	200.0	200.0	27999	-4733.0073	66600.266	-0.27840722	-48.745483	-4735.372	66633.55	-0.35370895	-48.517807	5506.5625	77485.305	32.896572	-2.7845576	23.681131	0.23859386	130.05985641479492
8	-1375.7317	131.7323	-884.0032	-1504.9557	-1355.3447	74.3182	-1277.938	-1496.1554	200.0	200.0	31999	-5164.3228	72669.51	-0.3027169	-52.85563	-5163.7974	72662.12	-0.3114769	-53.461792	5612.9004	78981.62	32.896572	-3.6324754	25.784199	0.13631293	150.5338225364685
9	-1236.3394	379.91263	-5.420052	-1533.1879	-1323.3601	102.379524	-1147.175	-1500.1062	200.0	200.0	35999	-5714.366	80409.4	-0.16379653	-62.527252	-5716.379	80437.71	-0.199742	-59.071026	5669.055	79771.78	32.896572	-8.241566	29.069439	2.829596	171.3330307006836
10	-1280.8292	116.99586	-1097.5647	-1514.7461	-1229.7756	155.41435	-1072.5873	-1511.0553	200.0	200.0	39999	-6119.8325	86114.9	-0.2505176	-60.742207	-6123.7227	86169.65	-0.3584475	-61.474087	5693.9473	80122.055	32.896572	-3.6535287	30.776464	0.74061155	193.3748641014099
