steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.7000000000000001,1,0.7000000000000001,0.29999999999999993
2,2,1.5,1,0.8,0.4999999999999999
3,3,1.9,1,0.4,1.0999999999999999
4,4,2.6,1,0.7000000000000001,1.4
5,5,3.2,1,0.6000000000000001,1.7999999999999998
6,6,4.1000000000000005,1,0.9,1.9
7,7,4.700000000000001,1,0.6000000000000001,2.3
8,8,5.600000000000001,1,0.9,2.4
9,9,6.200000000000001,1,0.6000000000000001,2.8
10,10,6.400000000000001,1,0.2,3.5999999999999996
12,12,8.100000000000001,1,1.0,3.8999999999999995
14,14,9.500000000000002,1,0.9,4.499999999999999
17,17,11.200000000000003,1,0.9,5.799999999999999
20,20,12.400000000000002,1,0.5,7.599999999999999
25,25,15.900000000000002,1,0.6000000000000001,9.1
30,30,18.500000000000004,1,0.6000000000000001,11.5
40,40,22.800000000000008,1,0.8,17.199999999999996
50,50,28.90000000000001,1,0.2,21.099999999999994
60,60,34.400000000000006,1,0.8,25.599999999999994
70,70,39.50000000000001,1,0.5,30.499999999999993
80,80,43.300000000000004,1,0.4,36.699999999999996
90,90,50.70000000000001,1,0.4,39.29999999999999
100,100,53.90000000000001,1,0.1,46.09999999999999
120,120,65.60000000000001,1,0.6000000000000001,54.39999999999999
140,140,75.9,1,0.30000000000000004,64.1
170,170,92.80000000000001,1,0.8,77.19999999999999
200,200,108.49999999999999,1,0.6000000000000001,91.50000000000001
250,250,135.49999999999994,1,0.9,114.50000000000001
300,300,164.29999999999998,1,0.6000000000000001,135.70000000000002
400,400,214.79999999999998,1,1.0,185.20000000000002
500,500,264.9999999999999,1,0.5,235.00000000000006
600,600,313.0,1,0.1,287.0
700,700,363.5999999999999,1,0.1,336.4000000000001
800,800,414.99999999999994,1,0.7000000000000001,385.00000000000006
900,900,462.6000000000002,1,0.7000000000000001,437.3999999999998
1000,1000,511.0000000000003,1,0.7000000000000001,488.9999999999997
1200,1200,611.9999999999999,1,0.8,587.9999999999999
1400,1400,707.1000000000004,1,0.9,692.8999999999994
1700,1700,859.7999999999998,1,0.5,840.1999999999999
2000,2000,1002.8000000000006,1,0.9,997.1999999999991
2500,2500,1260.3000000000004,1,0.0,1239.6999999999994
3000,3000,1510.7,1,0.0,1489.2999999999997
4000,4000,2013.499999999997,1,0.30000000000000004,1986.5000000000027
5000,5000,2524.400000000001,1,0.8,2475.599999999998
6000,6000,3034.8000000000084,1,0.7000000000000001,2965.1999999999907
7000,7000,3533.1000000000076,1,0.9,3466.8999999999915
8000,8000,4055.300000000009,1,1.0,3944.6999999999903
9000,9000,4564.700000000001,1,0.30000000000000004,4435.299999999999
10000,10000,5075.999999999996,1,0.5,4924.000000000004
